Timestamp,TPS,ResponseTime_ms,CPU_%,Memory_%,JVM_Heap_%
2024-01-02 23:00:00,126.54,427.26,15.97,64.59,46.8
2024-01-03 00:00:00,126.3,331.11,23.58,67.21,59.13
2024-01-03 01:00:00,134.47,333.27,27.98,62.83,52.6
2024-01-03 02:00:00,148.79,391.31,33.9,63.02,59.41
2024-01-03 03:00:00,139.19,333.75,32.1,60.41,54.17
2024-01-03 04:00:00,126.07,334.82,33.52,61.52,54.33
2024-01-03 05:00:00,135.99,407.64,29.22,58.94,57.58
2024-01-03 06:00:00,167.06,355.63,41.67,59.36,65.04
2024-01-03 07:00:00,194.11,373.3,35.28,65.21,63.1
2024-01-03 08:00:00,208.37,329.96,37.01,60.28,55.1
2024-01-03 09:00:00,205.83,380.36,34.02,62.8,57.69
2024-01-03 10:00:00,202.1,334.39,52.16,65.26,67.19
2024-01-03 11:00:00,302.02,305.3,57.4,66.25,62.55
2024-01-03 12:00:00,380.38,216.29,82.48,65.76,79.66
2024-01-03 13:00:00,149.01,345.78,32.74,63.82,54.49
2024-01-03 14:00:00,128.09,383.85,23.3,60.7,51.44
2024-01-03 15:00:00,155.68,375.1,32.67,65.55,62.12
2024-01-03 16:00:00,137.39,370.76,23.93,57.38,44.59
2024-01-03 17:00:00,159.19,363.35,30.83,62.53,61.68
2024-01-03 18:00:00,158.06,335.07,32.92,63.2,61.8
2024-01-03 19:00:00,161.4,366.66,30.73,64.2,56.86
2024-01-03 20:00:00,166.87,401.75,38.7,57.96,51.88
2024-01-03 21:00:00,139.44,388.26,31.85,64.66,61.24
2024-01-03 22:00:00,128.97,336.03,25.75,56.31,59.05
2024-01-03 23:00:00,164.1,320.54,31.21,64.52,55.04
2024-01-04 00:00:00,152.21,336.26,31.46,64.72,62.43
2024-01-04 01:00:00,128.54,313.71,18.67,60.42,51.0
2024-01-04 02:00:00,159.22,285.81,39.69,62.28,57.74
2024-01-04 03:00:00,145.62,361.14,24.99,64.47,64.24
2024-01-04 04:00:00,167.38,300.84,29.26,62.32,57.99
2024-01-04 05:00:00,167.43,350.91,33.55,63.64,53.76
2024-01-04 06:00:00,167.7,412.37,35.57,62.06,66.06
2024-01-04 07:00:00,218.04,353.49,44.52,70.93,61.61
2024-01-04 08:00:00,195.98,329.94,32.42,67.02,51.05
2024-01-04 09:00:00,183.4,349.12,46.06,66.52,59.54
2024-01-04 10:00:00,221.64,348.38,51.71,66.53,62.91
2024-01-04 11:00:00,372.9,311.08,72.23,62.32,71.07
2024-01-04 12:00:00,383.37,280.48,78.07,60.31,59.36
2024-01-04 13:00:00,137.01,354.49,27.64,61.39,57.75
2024-01-04 14:00:00,144.82,310.67,31.64,66.08,66.9
2024-01-04 15:00:00,140.74,363.05,24.41,67.47,59.43
2024-01-04 16:00:00,147.89,355.8,35.34,66.04,60.73
2024-01-04 17:00:00,142.74,371.78,35.39,59.96,58.48
2024-01-04 18:00:00,130.96,304.42,33.41,65.28,58.22
2024-01-04 19:00:00,140.31,398.3,28.43,67.69,52.94
2024-01-04 20:00:00,162.98,345.23,36.58,62.42,48.92
2024-01-04 21:00:00,168.17,281.92,33.19,59.45,57.55
2024-01-04 22:00:00,128.3,324.2,28.1,64.81,56.01
2024-01-04 23:00:00,145.85,321.81,31.69,61.33,51.43
2024-01-05 00:00:00,132.76,312.73,25.59,62.83,43.97
2024-01-05 01:00:00,155.4,327.21,32.15,62.77,55.54
2024-01-05 02:00:00,160.5,324.41,35.0,61.57,50.11
2024-01-05 03:00:00,146.32,305.77,36.1,67.86,60.26
2024-01-05 04:00:00,126.57,383.35,20.37,62.62,59.01
2024-01-05 05:00:00,148.42,346.69,24.91,58.15,52.52
2024-01-05 06:00:00,136.82,348.78,27.13,59.55,49.8
2024-01-05 07:00:00,199.13,384.24,44.23,63.96,67.41
2024-01-05 08:00:00,183.98,409.9,41.87,62.36,66.17
2024-01-05 09:00:00,186.54,311.55,30.39,66.51,68.83
2024-01-05 10:00:00,200.93,333.85,40.82,62.93,57.32
2024-01-05 11:00:00,301.01,280.14,57.77,64.24,58.63
2024-01-05 12:00:00,303.08,223.89,64.04,67.23,66.17
2024-01-05 13:00:00,163.12,328.32,36.4,64.77,54.2
2024-01-05 14:00:00,165.94,405.99,41.29,66.12,57.34
2024-01-05 15:00:00,133.2,332.7,17.62,57.78,49.99
2024-01-05 16:00:00,130.01,310.93,29.99,59.18,54.68
2024-01-05 17:00:00,146.17,331.72,29.47,60.34,52.25
2024-01-05 18:00:00,127.74,339.36,29.35,65.87,62.43
2024-01-05 19:00:00,151.22,275.44,26.26,64.76,56.04
2024-01-05 20:00:00,161.58,351.23,32.76,64.7,66.21
2024-01-05 21:00:00,162.07,356.1,30.36,61.78,53.33
2024-01-05 22:00:00,132.19,372.24,31.61,56.02,52.94
2024-01-05 23:00:00,163.63,381.49,30.69,57.16,46.82
2024-01-06 00:00:00,145.35,383.1,24.85,58.17,51.58
2024-01-06 01:00:00,164.62,370.01,21.87,64.0,59.43
2024-01-06 02:00:00,130.11,361.59,28.87,59.98,51.75
2024-01-06 03:00:00,159.97,365.66,43.35,63.74,60.91
2024-01-06 04:00:00,131.64,323.38,22.24,67.16,60.19
2024-01-06 05:00:00,163.62,376.59,30.17,62.46,51.11
2024-01-06 06:00:00,160.11,333.81,29.26,66.09,63.59
2024-01-06 07:00:00,218.89,339.44,53.16,62.06,54.05
2024-01-06 08:00:00,189.94,341.8,42.17,61.13,45.71
2024-01-06 09:00:00,238.18,329.01,42.01,72.1,66.73
2024-01-06 10:00:00,179.64,393.58,38.88,64.24,61.38
2024-01-06 11:00:00,300.98,356.14,66.92,70.8,67.47
2024-01-06 12:00:00,379.78,270.7,79.86,75.21,78.76
2024-01-06 13:00:00,142.55,347.74,26.37,59.81,44.85
2024-01-06 14:00:00,148.65,343.55,32.87,66.78,55.91
2024-01-06 15:00:00,144.89,343.91,21.46,62.16,52.66
2024-01-06 16:00:00,146.93,375.16,28.6,66.18,49.44
2024-01-06 17:00:00,152.83,340.99,25.03,70.78,61.92
2024-01-06 18:00:00,127.91,333.89,28.95,62.21,56.34
2024-01-06 19:00:00,133.36,354.56,23.95,60.53,53.75
2024-01-06 20:00:00,159.15,388.61,18.53,56.95,43.06
2024-01-06 21:00:00,149.63,339.84,28.07,58.77,48.74
2024-01-06 22:00:00,153.35,338.03,30.32,64.52,53.82
2024-01-06 23:00:00,154.01,370.31,25.16,61.51,56.68
2024-01-07 00:00:00,153.74,338.23,29.6,65.52,53.63
2024-01-07 01:00:00,162.69,334.94,38.33,60.01,58.75
2024-01-07 02:00:00,137.88,303.95,36.4,59.03,50.42
2024-01-07 03:00:00,141.69,306.07,31.37,58.99,62.24
2024-01-07 04:00:00,149.3,297.63,27.13,65.9,57.99
2024-01-07 05:00:00,160.22,335.68,31.76,64.13,49.1
2024-01-07 06:00:00,152.89,330.35,28.49,59.19,53.56
2024-01-07 07:00:00,195.66,340.66,34.24,65.14,50.45
2024-01-07 08:00:00,219.54,312.75,46.54,69.25,72.56
2024-01-07 09:00:00,220.4,271.31,37.68,62.53,57.69
2024-01-07 10:00:00,188.98,326.57,38.79,59.48,58.24
2024-01-07 11:00:00,324.84,264.02,58.21,63.57,67.77
2024-01-07 12:00:00,342.69,348.21,67.02,67.14,68.01
2024-01-07 13:00:00,134.43,337.92,27.5,70.37,61.31
2024-01-07 14:00:00,139.69,342.87,29.15,63.33,54.82
2024-01-07 15:00:00,146.8,332.26,38.42,65.06,56.92
2024-01-07 16:00:00,160.2,313.97,36.69,57.92,59.39
2024-01-07 17:00:00,128.99,354.77,28.9,63.11,49.59
2024-01-07 18:00:00,163.45,370.02,35.78,67.13,66.17
2024-01-07 19:00:00,162.4,343.76,24.18,64.54,57.5
2024-01-07 20:00:00,132.91,380.25,27.25,64.0,55.58
2024-01-07 21:00:00,167.77,342.89,36.96,63.44,58.29
2024-01-07 22:00:00,139.02,311.5,30.31,59.65,60.17
2024-01-07 23:00:00,156.91,342.09,29.18,67.48,60.8
2024-01-08 00:00:00,139.01,379.7,29.22,58.73,55.76
2024-01-08 01:00:00,126.03,360.46,30.53,60.97,61.93
2024-01-08 02:00:00,146.11,378.89,30.79,57.88,43.67
2024-01-08 03:00:00,157.48,334.9,30.09,59.12,48.72
2024-01-08 04:00:00,138.02,295.98,21.57,59.55,55.37
2024-01-08 05:00:00,166.84,373.92,32.3,63.19,60.38
2024-01-08 06:00:00,152.0,384.35,38.51,58.33,54.74
2024-01-08 07:00:00,189.62,318.1,35.15,61.88,62.48
2024-01-08 08:00:00,182.14,328.08,30.56,66.03,64.18
2024-01-08 09:00:00,188.2,320.7,40.8,64.37,52.08
2024-01-08 10:00:00,215.86,302.84,43.99,63.23,62.3
2024-01-08 11:00:00,298.66,309.02,61.4,67.95,76.69
2024-01-08 12:00:00,294.37,249.42,52.59,68.54,60.6
2024-01-08 13:00:00,146.82,335.53,30.48,62.89,62.35
2024-01-08 14:00:00,146.14,387.45,30.94,66.89,54.05
2024-01-08 15:00:00,149.9,367.55,28.18,64.77,63.0
2024-01-08 16:00:00,162.46,358.01,36.07,64.76,63.31
2024-01-08 17:00:00,154.94,389.82,34.23,62.6,57.66
2024-01-08 18:00:00,139.73,332.74,30.42,64.05,59.33
2024-01-08 19:00:00,147.33,356.62,29.7,58.87,56.76
2024-01-08 20:00:00,152.91,393.88,31.65,63.86,55.41
2024-01-08 21:00:00,148.82,347.53,31.16,64.8,59.0
2024-01-08 22:00:00,129.47,362.11,27.94,62.03,53.19
2024-01-08 23:00:00,156.18,351.93,27.74,66.71,51.3
2024-01-09 00:00:00,126.97,368.69,22.76,62.15,44.09
2024-01-09 01:00:00,158.92,330.37,41.19,58.83,44.31
2024-01-09 02:00:00,132.17,375.4,31.37,66.01,65.63
2024-01-09 03:00:00,137.0,373.84,26.9,68.28,54.65
2024-01-09 04:00:00,142.48,379.44,27.46,60.72,50.72
2024-01-09 05:00:00,126.32,320.35,32.48,62.28,61.91
2024-01-09 06:00:00,167.65,352.21,32.38,65.48,62.47
2024-01-09 07:00:00,231.72,342.04,52.99,65.22,66.32
2024-01-09 08:00:00,228.68,292.85,45.49,65.7,57.87
2024-01-09 09:00:00,205.61,330.26,33.97,64.5,54.99
2024-01-09 10:00:00,195.45,315.81,44.07,63.08,59.15
2024-01-09 11:00:00,292.9,288.8,46.46,61.11,61.98
2024-01-09 12:00:00,355.65,292.61,73.53,67.04,65.48
2024-01-09 13:00:00,129.58,356.7,20.12,67.1,62.09
2024-01-09 14:00:00,149.63,323.83,30.11,62.19,55.34
2024-01-09 15:00:00,128.42,327.15,24.28,67.96,62.43
2024-01-09 16:00:00,160.26,331.78,29.83,64.03,53.2
2024-01-09 17:00:00,156.11,349.75,27.99,65.22,59.74
2024-01-09 18:00:00,156.44,330.47,36.73,63.47,62.88
2024-01-09 19:00:00,160.99,408.59,28.75,68.43,61.48
2024-01-09 20:00:00,128.55,326.2,23.06,64.43,61.8
2024-01-09 21:00:00,146.92,402.85,31.57,63.05,57.36
2024-01-09 22:00:00,133.75,340.35,27.81,65.95,57.77
2024-01-09 23:00:00,157.02,333.17,39.27,59.46,48.1
2024-01-10 00:00:00,168.51,296.98,43.71,63.05,68.09
2024-01-10 01:00:00,163.47,340.33,37.11,65.23,51.72
2024-01-10 02:00:00,165.19,360.92,26.77,67.43,63.19
2024-01-10 03:00:00,130.75,371.24,27.45,60.96,50.9
2024-01-10 04:00:00,167.79,353.78,32.1,58.4,52.89
2024-01-10 05:00:00,163.35,368.7,18.43,66.71,48.36
2024-01-10 06:00:00,132.16,367.17,26.0,65.07,51.02
2024-01-10 07:00:00,198.99,319.64,41.53,63.84,61.76
2024-01-10 08:00:00,193.37,272.69,39.95,63.09,64.63
2024-01-10 09:00:00,194.17,380.3,43.08,62.84,57.14
2024-01-10 10:00:00,180.81,365.14,42.27,67.26,61.82
2024-01-10 11:00:00,366.81,308.64,74.56,66.56,67.18
2024-01-10 12:00:00,312.79,297.19,59.12,65.86,59.34
2024-01-10 13:00:00,166.13,346.98,23.24,66.07,59.24
2024-01-10 14:00:00,145.0,288.64,43.69,60.29,58.98
2024-01-10 15:00:00,126.27,391.15,20.05,64.36,50.23
2024-01-10 16:00:00,167.72,352.39,30.29,66.57,58.5
2024-01-10 17:00:00,132.76,381.85,29.03,63.11,58.12
2024-01-10 18:00:00,146.88,379.93,30.91,61.59,55.79
2024-01-10 19:00:00,166.0,377.83,39.14,65.24,54.3
2024-01-10 20:00:00,142.32,329.41,29.95,65.86,57.42
2024-01-10 21:00:00,159.45,395.26,34.16,62.46,61.62
2024-01-10 22:00:00,139.37,384.95,30.72,64.95,61.28
2024-01-10 23:00:00,144.16,347.45,29.46,62.36,55.86
2024-01-11 00:00:00,139.26,315.24,19.63,60.13,59.79
2024-01-11 01:00:00,144.74,332.59,22.33,67.82,63.77
2024-01-11 02:00:00,152.27,281.77,27.04,63.22,61.62
2024-01-11 03:00:00,146.08,309.62,20.99,65.99,69.19
2024-01-11 04:00:00,151.76,369.81,33.23,62.28,58.43
2024-01-11 05:00:00,165.83,322.1,31.76,58.24,52.45
2024-01-11 06:00:00,137.51,383.29,24.42,57.01,52.48
2024-01-11 07:00:00,216.95,297.99,48.09,61.39,57.61
2024-01-11 08:00:00,189.91,307.62,40.74,69.34,64.73
2024-01-11 09:00:00,185.23,290.47,39.25,63.65,61.53
2024-01-11 10:00:00,229.28,306.21,46.17,66.0,62.73
2024-01-11 11:00:00,346.24,286.05,69.45,64.82,62.43
2024-01-11 12:00:00,347.19,318.75,67.93,66.12,70.24
2024-01-11 13:00:00,135.4,333.32,31.55,61.82,62.01
2024-01-11 14:00:00,154.39,355.72,26.97,69.76,55.01
2024-01-11 15:00:00,132.36,374.89,28.54,62.09,54.73
2024-01-11 16:00:00,125.99,394.74,33.32,57.91,54.33
2024-01-11 17:00:00,142.19,349.96,41.34,60.43,64.81
2024-01-11 18:00:00,143.83,381.35,34.29,63.78,55.21
2024-01-11 19:00:00,150.46,338.47,29.07,61.26,49.75
2024-01-11 20:00:00,134.95,337.42,26.0,60.42,53.71
2024-01-11 21:00:00,160.25,353.6,24.27,64.2,60.38
2024-01-11 22:00:00,148.45,315.34,23.52,65.05,66.48
2024-01-11 23:00:00,157.17,326.46,31.16,64.82,58.47
2024-01-12 00:00:00,132.68,326.05,29.68,59.91,54.27
2024-01-12 01:00:00,144.81,329.66,35.14,66.17,63.01
2024-01-12 02:00:00,165.84,328.7,26.13,63.54,59.96
2024-01-12 03:00:00,162.08,415.55,34.38,63.82,56.39
2024-01-12 04:00:00,130.58,371.58,29.03,59.4,48.88
2024-01-12 05:00:00,140.83,297.97,30.71,59.51,42.98
2024-01-12 06:00:00,151.44,374.61,30.44,63.78,57.11
2024-01-12 07:00:00,232.14,325.07,45.93,67.4,61.66
2024-01-12 08:00:00,233.19,339.32,49.64,63.14,59.26
2024-01-12 09:00:00,203.89,348.13,36.29,64.16,58.54
2024-01-12 10:00:00,218.88,320.29,44.76,71.77,64.87
2024-01-12 11:00:00,362.69,279.41,65.98,64.06,62.92
2024-01-12 12:00:00,322.65,307.68,64.8,61.05,58.56
2024-01-12 13:00:00,147.27,322.73,28.73,59.32,56.2
2024-01-12 14:00:00,152.27,320.25,32.54,60.98,54.98
2024-01-12 15:00:00,168.82,348.19,32.08,61.54,54.13
2024-01-12 16:00:00,155.47,348.65,27.45,58.51,56.86
2024-01-12 17:00:00,152.46,272.56,35.16,58.95,53.07
2024-01-12 18:00:00,141.17,389.18,26.65,65.46,61.51
2024-01-12 19:00:00,125.44,340.89,12.13,60.87,53.08
2024-01-12 20:00:00,148.56,320.66,29.56,57.09,61.89
2024-01-12 21:00:00,162.19,345.12,27.77,61.91,50.66
2024-01-12 22:00:00,157.47,278.43,29.27,60.52,42.89
2024-01-12 23:00:00,159.57,326.74,37.11,61.37,65.65
2024-01-13 00:00:00,136.18,351.96,31.84,66.96,66.01
2024-01-13 01:00:00,164.42,384.24,40.69,63.38,55.08
2024-01-13 02:00:00,131.57,358.8,34.93,61.94,56.99
2024-01-13 03:00:00,128.69,346.14,26.66,58.53,47.3
2024-01-13 04:00:00,140.37,373.62,33.86,61.45,53.75
2024-01-13 05:00:00,129.29,392.47,29.45,65.57,54.57
2024-01-13 06:00:00,152.5,311.59,27.99,63.89,52.08
2024-01-13 07:00:00,227.3,337.91,56.29,62.62,65.99
2024-01-13 08:00:00,240.24,363.59,57.04,67.04,68.01
2024-01-13 09:00:00,219.86,315.77,39.78,61.26,47.13
2024-01-13 10:00:00,206.18,348.66,41.97,62.67,56.88
2024-01-13 11:00:00,305.51,307.39,65.18,68.69,65.07
2024-01-13 12:00:00,372.43,300.98,70.42,71.09,70.25
2024-01-13 13:00:00,157.08,367.53,37.28,63.68,51.92
2024-01-13 14:00:00,168.37,341.04,33.25,65.81,62.18
2024-01-13 15:00:00,134.37,392.36,26.98,63.61,64.8
2024-01-13 16:00:00,150.98,292.7,30.59,68.45,64.0
2024-01-13 17:00:00,163.46,384.2,36.06,62.85,51.37
2024-01-13 18:00:00,125.36,383.07,20.44,66.37,55.07
2024-01-13 19:00:00,133.95,405.45,28.76,59.09,55.25
2024-01-13 20:00:00,140.62,361.47,35.4,58.46,48.32
2024-01-13 21:00:00,131.52,377.83,24.44,67.81,57.14
2024-01-13 22:00:00,164.03,294.36,40.09,68.32,58.92
2024-01-13 23:00:00,125.09,312.53,31.33,60.85,67.73
2024-01-14 00:00:00,153.28,352.7,27.22,68.65,69.8
2024-01-14 01:00:00,151.56,380.2,33.28,65.37,56.19
2024-01-14 02:00:00,146.92,384.5,26.14,65.78,61.26
2024-01-14 03:00:00,147.76,316.5,28.58,60.8,45.03
2024-01-14 04:00:00,128.86,371.45,18.94,63.15,57.19
2024-01-14 05:00:00,143.53,388.79,31.62,62.19,51.28
2024-01-14 06:00:00,161.99,381.96,22.71,59.48,53.87
2024-01-14 07:00:00,201.32,337.12,31.42,65.0,57.54
2024-01-14 08:00:00,194.84,366.04,37.99,62.79,59.84
2024-01-14 09:00:00,229.07,288.55,31.45,64.5,66.75
2024-01-14 10:00:00,206.02,358.33,45.09,65.18,55.68
2024-01-14 11:00:00,299.24,323.23,65.98,65.68,64.73
2024-01-14 12:00:00,311.98,306.66,61.29,63.72,58.62
2024-01-14 13:00:00,158.44,391.97,30.33,63.1,52.81
2024-01-14 14:00:00,126.43,360.91,19.63,57.24,44.59
2024-01-14 15:00:00,164.63,347.13,35.51,58.61,51.34
2024-01-14 16:00:00,157.18,314.29,34.27,59.14,66.24
2024-01-14 17:00:00,167.82,295.61,39.39,61.15,52.75
2024-01-14 18:00:00,162.46,376.37,45.81,62.36,59.81
2024-01-14 19:00:00,156.17,323.12,31.66,59.91,39.65
2024-01-14 20:00:00,132.26,342.46,36.5,67.95,56.49
2024-01-14 21:00:00,149.0,350.96,26.16,62.43,62.05
2024-01-14 22:00:00,127.24,338.73,28.46,60.42,51.47
2024-01-14 23:00:00,139.51,357.18,36.03,63.76,56.95
2024-01-15 00:00:00,163.74,334.61,35.3,64.23,58.28
2024-01-15 01:00:00,159.0,373.49,31.41,62.64,72.36
2024-01-15 02:00:00,129.6,387.95,28.45,66.52,56.07
2024-01-15 03:00:00,167.48,347.57,26.31,66.11,54.81
2024-01-15 04:00:00,150.42,385.5,32.77,65.3,57.84
2024-01-15 05:00:00,148.46,365.06,25.46,61.04,59.07
2024-01-15 06:00:00,162.75,337.78,34.97,61.62,53.71
2024-01-15 07:00:00,234.82,293.07,49.08,70.88,61.19
2024-01-15 08:00:00,183.76,344.49,37.96,65.24,59.81
2024-01-15 09:00:00,204.82,299.86,43.11,63.53,64.38
2024-01-15 10:00:00,188.72,338.07,36.41,69.15,63.72
2024-01-15 11:00:00,375.34,280.72,73.3,68.52,68.0
2024-01-15 12:00:00,368.16,331.52,75.39,66.45,58.46
2024-01-15 13:00:00,161.18,282.62,29.2,67.11,59.42
2024-01-15 14:00:00,139.73,369.8,23.75,61.1,51.57
2024-01-15 15:00:00,140.29,401.7,26.45,66.46,66.06
2024-01-15 16:00:00,140.49,350.08,34.22,62.92,57.86
2024-01-15 17:00:00,130.52,321.12,32.04,61.22,56.39
2024-01-15 18:00:00,132.66,343.72,29.15,61.13,58.62
2024-01-15 19:00:00,153.3,352.69,40.35,60.07,52.73
2024-01-15 20:00:00,126.41,388.72,18.7,64.7,58.84
2024-01-15 21:00:00,154.28,360.87,29.65,65.1,67.51
2024-01-15 22:00:00,129.84,305.57,14.58,63.02,58.84
2024-01-15 23:00:00,141.73,336.7,27.89,63.83,57.6
2024-01-16 00:00:00,137.3,341.18,31.21,63.33,58.49
2024-01-16 01:00:00,160.45,318.45,37.52,61.6,60.82
2024-01-16 02:00:00,163.44,355.71,29.46,60.54,54.78
2024-01-16 03:00:00,135.62,354.21,25.61,65.11,49.13
2024-01-16 04:00:00,138.06,385.48,23.29,64.05,60.39
2024-01-16 05:00:00,151.11,346.5,29.38,63.23,62.27
2024-01-16 06:00:00,127.76,367.84,31.37,63.35,60.16
2024-01-16 07:00:00,230.75,328.77,51.15,56.51,58.82
2024-01-16 08:00:00,198.47,378.07,37.93,66.63,62.04
2024-01-16 09:00:00,206.43,379.56,47.86,69.05,68.52
2024-01-16 10:00:00,193.46,306.55,38.84,63.1,46.23
2024-01-16 11:00:00,351.34,286.58,73.03,67.16,76.81
2024-01-16 12:00:00,349.52,280.33,68.98,65.67,55.29
2024-01-16 13:00:00,126.96,344.8,21.93,58.32,50.63
2024-01-16 14:00:00,151.89,322.54,27.03,62.42,55.38
2024-01-16 15:00:00,125.29,348.96,21.3,63.46,61.73
2024-01-16 16:00:00,147.56,362.13,28.61,60.61,53.24
2024-01-16 17:00:00,152.16,339.71,26.45,66.27,58.41
2024-01-16 18:00:00,146.72,339.12,26.08,58.8,42.97
2024-01-16 19:00:00,143.08,360.32,31.16,58.12,57.2
2024-01-16 20:00:00,161.28,350.59,29.18,61.1,56.43
2024-01-16 21:00:00,141.88,288.15,24.78,62.2,49.78
2024-01-16 22:00:00,158.08,362.67,30.77,66.84,65.41
2024-01-16 23:00:00,140.91,350.07,28.28,64.94,58.78
2024-01-17 00:00:00,151.96,360.79,33.58,63.21,53.56
2024-01-17 01:00:00,131.22,355.26,25.2,62.24,45.42
2024-01-17 02:00:00,150.4,291.08,33.74,65.57,65.65
2024-01-17 03:00:00,162.24,326.53,41.32,59.66,60.59
2024-01-17 04:00:00,138.46,345.87,34.86,64.35,60.9
2024-01-17 05:00:00,162.77,341.71,36.61,65.64,51.09
2024-01-17 06:00:00,141.32,400.46,32.16,59.87,61.74
2024-01-17 07:00:00,189.01,303.82,36.73,62.86,61.53
2024-01-17 08:00:00,188.23,338.74,36.84,59.53,61.06
2024-01-17 09:00:00,183.02,288.49,32.57,66.55,67.84
2024-01-17 10:00:00,201.47,389.59,37.98,63.89,52.98
2024-01-17 11:00:00,288.38,320.26,57.71,64.46,62.56
2024-01-17 12:00:00,288.72,270.82,55.94,60.36,57.7
2024-01-17 13:00:00,164.64,366.03,31.26,66.81,61.55
2024-01-17 14:00:00,168.34,297.7,26.24,64.95,47.02
2024-01-17 15:00:00,131.75,408.06,37.51,64.55,61.64
2024-01-17 16:00:00,144.37,319.97,24.51,59.1,47.86
2024-01-17 17:00:00,167.57,284.76,37.25,60.13,56.75
2024-01-17 18:00:00,144.53,345.66,40.58,63.77,63.63
2024-01-17 19:00:00,150.06,313.09,32.5,61.61,55.25
2024-01-17 20:00:00,145.92,305.62,30.39,63.72,65.9
2024-01-17 21:00:00,163.32,354.8,30.7,64.07,55.68
2024-01-17 22:00:00,137.11,350.56,21.56,62.7,56.43
2024-01-17 23:00:00,163.03,292.46,38.92,60.54,52.95
2024-01-18 00:00:00,158.55,354.37,19.61,71.32,59.63
2024-01-18 01:00:00,163.12,343.98,34.05,64.83,61.9
2024-01-18 02:00:00,150.24,384.89,29.03,62.6,60.9
2024-01-18 03:00:00,147.46,370.52,30.47,62.89,54.47
2024-01-18 04:00:00,155.28,376.8,36.56,61.88,53.08
2024-01-18 05:00:00,140.77,334.28,32.47,65.67,61.6
2024-01-18 06:00:00,137.94,369.47,31.17,64.02,54.48
2024-01-18 07:00:00,226.94,360.02,48.93,65.59,67.61
2024-01-18 08:00:00,184.08,314.03,36.7,58.76,46.19
2024-01-18 09:00:00,182.66,315.34,34.99,57.97,54.44
2024-01-18 10:00:00,183.34,382.54,36.68,63.13,58.25
2024-01-18 11:00:00,292.95,254.12,54.78,63.55,57.1
2024-01-18 12:00:00,366.59,273.16,76.82,66.5,71.73
